k,Inertia,Silhouette
2.000000000000000000e+00,4.221041847573498274e+01,3.683017252579397494e-01
3.000000000000000000e+00,2.377403791402907629e+01,4.350653918665005615e-01
4.000000000000000000e+00,1.529228391755539995e+01,4.581141568222138472e-01
5.000000000000000000e+00,8.946235626306204836e+00,5.069573102398994280e-01
6.000000000000000000e+00,7.037244638793436202e+00,4.928807542983424939e-01
7.000000000000000000e+00,5.513213363993970439e+00,4.566282650101548546e-01
8.000000000000000000e+00,4.725234294269579749e+00,4.545738983148790435e-01
9.000000000000000000e+00,4.165186293216967428e+00,4.664888511414244099e-01
