k,Inertia,Silhouette Score
2.000000000000000000e+00,3.468947515210496846e+01,3.849945331242891622e-01
3.000000000000000000e+00,1.693060455457584013e+01,4.913966188064252116e-01
4.000000000000000000e+00,1.098830010273917246e+01,4.905993348521879294e-01
5.000000000000000000e+00,7.396067917474500319e+00,5.054142627260407306e-01
6.000000000000000000e+00,5.823023725767823677e+00,4.776822596326265047e-01
7.000000000000000000e+00,4.491448355243326418e+00,4.956424573339524575e-01
8.000000000000000000e+00,3.692336554261955950e+00,4.424589685920202187e-01
9.000000000000000000e+00,3.016164214832548485e+00,4.585472568162021201e-01
